coding_id,genre,source,context,interjection_syn,interjection_sem,interjection_int,notes
F001,FIC,Zamba,"couch, where arms maternal Gives to the shivering form its warmest shelter. Now fie upon such manhood! these are brutes Compared with him that serves him of the",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F002,FIC,WestPoint,"Mrs. Arnold. Mrs. Arnold Oh! I understand. Major Talmadge? Fie, fie, I can't, upon my life, see why you should forego all",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F003,FIC,FairGodTheLast,", or to the fountain yet faintly illuminated. But he was firm. "" Fie, fie! "" he said. "" You should laugh, not cry.",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F004,FIC,Elopement,"a flame that will require something more than water to extinguish. Marie. Marie Fie, Annette! Madelaine is betrothed to Mons. Lefvre, and you, who are",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F005,FIC,HeartsSecretOr,"able to go to-morrow -- at least I fear I shall not. "" "" Fie, fie, my daughter; thou, the prettiest bird in all the island",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F006,FIC,LadyPirate,"first chapter of Genesis, Jimmy. "" "" What's that? "" "" Fie! Fie! Jimmy, haven't you read that? "" He shook his",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F007,FIC,IngleboroughHall,"a thought of that kind ever occurred to me? Oh no -- fie! fie! but, on my word, I believe I can do it. """,1,1,1,Genuine interjection: exclamation/reproach in dialogue
F008,FIC,ErnestMaltravers188-?,"by all accounts, half a dozen didn't serve him. Aloud Oh, fie! my dear sir, for shame! I didn't insinuate such a thing",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F009,MAG,Harpers,", were not in the room with our young people, going to cry out fie and for shame? Then tie and for shame upon you, Mrs. Grundy!",0,1,1,Integrated: object of 'cry out'
F010,NEWS,NYT-Reg,"Cripple Creek. Orchard made a similar denial, as, - in fact, fie did to all of the.. questions: - The third question was of",0,0,0,OCR: he did
F011,FIC,WidowsMarriage,"the church-door! -- Mercy! Madge, Don't stare so at them. Fie! you naughty child, I'm blushing for you. Marry! when you",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F012,FIC,DaughtersRevolution,"his oration, "" said the moderator. "" No, no! fie, fie! "" shouted a captain of the Royal Irish Regiment, and the other officers",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F013,FIC,DreamLife A,"if it won't be true some day or other. - - - - Fie, Clarence, where is your split sixpence, and your blue ribbon! Jenny",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F014,FIC,MovingTarget,"over his records. "" Graves let me pull him back into his seat. FIe stroked his closed eyelids with his fingertips. "" This case is. the wildest",0,0,0,OCR: fie=He
F015,FIC,Liz,", very silly; the Scilly Isles. An. Anice Barholm (laughs) Fie! A clergyman and making puns. Lons. Rev. Arthur Lonsdale I apologise,",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F016,MAG,Atlantic,"Washington a mudhole, and left it the city of beauty it is to-day. fie. suffered the fate of all reformers,? he was abused, calumniated,",0,0,0,OCR: He suffered
F017,FIC,RichardEdneyGovernors,"The wounds of Young America heal quick. A breach in a mill-dam, -- fie! it is no more than a bird-track through our incalculable sky. Then there",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F018,FIC,WhenLifeIsYoung,"nor right. "" "" You won't, you naughty boy? Oh, fie! You dare to tell me mind my eye? Come down this instant!",1,1,1,Genuine interjection: exclamation/reproach in dialogue
F019,FIC,RomanTraitorVol12,"moved down in company toward the river. CHAPTER VI. THE FALSE LOVE. Fie, fie, upon her; There's a language in her eye, her",1,1,1,Genuine interjection: exclamation/reproach in dialogue
