coding_id,family,term,genre,source,left,target,right,exclude,exclusion_reason,verbal_syntax,semantic_residue,interactional_residue,targeted_entity,coder_notes
mgc0001,shoo,shooing,NF/ACAD,AnimalHusbandry,"it , by running at it , throwing sticks , """,shooing,""" it , and the like . This should never be done",0,,1,1,1,0,primary coding rule
mgc0002,shoo,shooing,NEWS,CSMonitor,", above the construction activity , sharp-eyed guides are",shooing,the curious away from an unfinished nuclear-fusion exhibit . US,0,,1,1,1,1,primary coding rule
mgc0003,boo,booing,TV/MOV,Breaking the Press,do n't come off the bench ! Sit down ! (,BOOING,) Double technical . Number 2 is gone . Hl-TOP : Time,1,no recoverable verbal syntax,0,0,0,0,excluded by primary coding rule
mgc0004,shoo,shooing,TV/MOV,Psych,one is not welcome here . Shoo . And we 're,shooing,. We 're shooing . We 're shooing . Auf wiedersehen .,0,,1,1,1,0,primary coding rule
mgc0005,boo,boos,FIC,Mov:RagingBull,RAY is the winner . JAKE is stunned . The CROWD,boos,so loud and for so long that THE ANNOUNCER is unable to,0,,1,1,1,0,primary coding rule
mgc0006,boo,booing,FIC,Play:VotesWomen,if she can myke erself eard.PILCHER retires in the midst of,booing,and cheers . CHAIRMAN (harassed and trying to creat a diversion,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0007,ooh,oohing,NEWS,SanFran,"off the shell , dipping toast points into the broth ,",oohing,"and aahing for the camera . When the lights went off ,",0,,1,1,1,0,primary coding rule
mgc0008,wow,wowed,NEWS,CSMonitor,#Sarah Palin as his running mate . Her charisma initially,wowed,"the nation , but many voters quickly became concerned she was not",0,,1,1,0,1,primary coding rule
mgc0009,boo,boos,FIC,Convert,"pay that price , too . ' Above a volley of",boos,"and groans she went on , ' But we are opposed to",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0010,boo,booed,FIC,LizaLambeth,#and the villains -- the house yelled and hissed and,booed,", while the poor brutes bowed and tried to look as if",0,,1,1,1,0,primary coding rule
