coding_id,family,term,genre,source,left,target,right,exclude,exclusion_reason,verbal_syntax,semantic_residue,interactional_residue,targeted_entity,coder_notes
mgc0004,shoo,shooing,TV/MOV,Psych,one is not welcome here . Shoo . And we 're,shooing,. We 're shooing . We 're shooing . Auf wiedersehen .,0,,1,1,1,1,
mgc0018,shoo,shooed,FIC,ThreeWishes,"one who 'll have to cover for you . "" Bree",shooed,"her off . "" No one else is coming in . Not",0,,1,1,1,1,
mgc0035,boo,booed,FIC,MagnoliaStreet,#that John Cooper was now away at sea . They,booed,as if Benny Edelman had not saved little Tommie Wright from,0,,1,1,1,1,
mgc0112,boo,booed,MAG,Time,"#'s home state of Colorado last month , football fans",booed,in Denver 's Mile High Stadium . Reason : for nearly nine,0,,1,1,1,1,
mgc0116,wow,wowed,NEWS,CSMonitor,#unsolicited print to the 1992 Toronto film festival . It,wowed,the programmers . Though the film went on to win the American,0,,1,1,1,1,live festival-screening uptake by selection committee
mgc0126,shoo,shooed,FIC,ConfidenceInIzmir,and millions of devalued lira were at stake . The waiter,shooed,"the hawker from their table , and a final fingernail of sun",0,,1,1,1,1,
mgc0129,ooh,oohed,FIC,Analog,"overhead , and Andrea gasped . Several of the other astronomers",oohed,"and aahed . "" Make a wish , "" Craig said .",0,,1,1,1,1,
mgc0143,shoo,shooed,FIC,VisionsCody,". . "" The non-corn came up at that point and",shooed,"them toward the stairs . They went down the steps , along",0,,1,1,1,1,
mgc0151,shoo,shooed,FIC,ManWithNoShadow,"tower of yours , so I drove back . The police",shooed,"me away . Sweetie , why do you have the police there",0,,1,1,1,1,
mgc0168,boo,booed,FIC,DeepRiver,#and stood up ; tenants of the windows catcalled and,booed,", even P343the well-mannered rose hastily for a better look and",0,,1,1,1,1,target recoverable as event/persons on street below windows
mgc0178,boo,booed,MAG,SportsIll,"#consoling Biggs , who earlier in the evening had been",booed,by his countrymen after he 'd defeated Francesco Damiani of,0,,1,1,1,1,
