coding_id,token_id,family,term,kwic_line,doc_id,year,decade,genre,source,left,target,right,context
mgc0001,mg1106,shoo,shooing,150,773847,1926,1920,NF/ACAD,AnimalHusbandry,"it , by running at it , throwing sticks , """,shooing,""" it , and the like . This should never be done","it , by running at it , throwing sticks , "" shooing "" it , and the like . This should never be done"
mgc0002,mg1160,shoo,shooing,114,669444,1985,1980,NEWS,CSMonitor,", above the construction activity , sharp-eyed guides are",shooing,the curious away from an unfinished nuclear-fusion exhibit . US,", above the construction activity , sharp-eyed guides are shooing the curious away from an unfinished nuclear-fusion exhibit . US"
mgc0003,mg0479,boo,booing,145,5218037,2010,2010,TV/MOV,Breaking the Press,do n't come off the bench ! Sit down ! (,BOOING,) Double technical . Number 2 is gone . Hl-TOP : Time,do n't come off the bench ! Sit down ! ( BOOING ) Double technical . Number 2 is gone . Hl-TOP : Time
mgc0004,mg1217,shoo,shooing,159,5229035,2009,2000,TV/MOV,Psych,one is not welcome here . Shoo . And we 're,shooing,. We 're shooing . We 're shooing . Auf wiedersehen .,one is not welcome here . Shoo . And we 're shooing . We 're shooing . We 're shooing . Auf wiedersehen .
mgc0005,mg0666,boo,boos,156,16260,1980,1980,FIC,Mov:RagingBull,RAY is the winner . JAKE is stunned . The CROWD,boos,so loud and for so long that THE ANNOUNCER is unable to,RAY is the winner . JAKE is stunned . The CROWD boos so loud and for so long that THE ANNOUNCER is unable to
mgc0006,mg0294,boo,booing,5,13182,1907,1900,FIC,Play:VotesWomen,if she can myke erself eard.PILCHER retires in the midst of,booing,and cheers . CHAIRMAN (harassed and trying to creat a diversion,if she can myke erself eard.PILCHER retires in the midst of booing and cheers . CHAIRMAN (harassed and trying to creat a diversion
mgc0007,mg0810,ooh,oohing,3,637873,2007,2000,NEWS,SanFran,"off the shell , dipping toast points into the broth ,",oohing,"and aahing for the camera . When the lights went off ,","off the shell , dipping toast points into the broth , oohing and aahing for the camera . When the lights went off ,"
mgc0008,mg1379,wow,wowed,66,4128031,2012,2010,NEWS,CSMonitor,#Sarah Palin as his running mate . Her charisma initially,wowed,"the nation , but many voters quickly became concerned she was not","#Sarah Palin as his running mate . Her charisma initially wowed the nation , but many voters quickly became concerned she was not"
mgc0009,mg0496,boo,boos,35,4868,1907,1900,FIC,Convert,"pay that price , too . ' Above a volley of",boos,"and groans she went on , ' But we are opposed to","pay that price , too . ' Above a volley of boos and groans she went on , ' But we are opposed to"
mgc0010,mg0005,boo,booed,251,2683,1921,1920,FIC,LizaLambeth,#and the villains -- the house yelled and hissed and,booed,", while the poor brutes bowed and tried to look as if","#and the villains -- the house yelled and hissed and booed , while the poor brutes bowed and tried to look as if"
mgc0011,mg0954,shoo,shooed,124,105607,1973,1970,MAG,SportsIll,", somebody tosses away a cigarette and the little kids are",shooed,"off the court again . Dennis DuVal , who made the dean",", somebody tosses away a cigarette and the little kids are shooed off the court again . Dennis DuVal , who made the dean"
mgc0012,mg0505,boo,boos,201,1083,1922,1920,FIC,HairyApe,"he is interrupted by a storm of catcalls , hisses ,",boos,", hard laughter . VOICES -- Turn it off ! Shut up","he is interrupted by a storm of catcalls , hisses , boos , hard laughter . VOICES -- Turn it off ! Shut up"
mgc0013,mg0426,boo,booing,73,14001,1979,1970,FIC,Play:CircusValentine,p. 66 IN THE CENTER RINGGoldie continues . The crowd is,booing,louder now . GOLDIE Fred bought this tent because he wanted to,p. 66 IN THE CENTER RINGGoldie continues . The crowd is booing louder now . GOLDIE Fred bought this tent because he wanted to
mgc0014,mg0636,boo,boos,141,729712,1971,1970,NEWS,Chicago,cries from the Teatro Alla Scala 's top two galleries were,boos,"of disapproval . Language Barrier "" I was absolutely shattered","cries from the Teatro Alla Scala 's top two galleries were boos of disapproval . Language Barrier "" I was absolutely shattered"
mgc0015,mg0447,boo,booing,196,13391,1991,1990,FIC,Play:GameInches,". Booo . "" But today , the fans are n't",booing,". They 're quiet , almost kind . It 's not putting",". Booo . "" But today , the fans are n't booing . They 're quiet , almost kind . It 's not putting"
mgc0016,mg1125,shoo,shooing,107,487556,1951,1950,MAG,Nation,teachers to membership -- a refusal that has the effect of,shooing,teachers still farther away from any kind of classroom work that,teachers to membership -- a refusal that has the effect of shooing teachers still farther away from any kind of classroom work that
mgc0017,mg1390,wow,wowed,99,4161184,2015,2010,FIC,Bk:PhantomAngel,"#to be wowed . Trust me , they will be",wowed,". And the music ? I promise you , people will be","#to be wowed . Trust me , they will be wowed . And the music ? I promise you , people will be"
mgc0018,mg1017,shoo,shooed,63,30530,1998,1990,FIC,ThreeWishes,"one who 'll have to cover for you . "" Bree",shooed,"her off . "" No one else is coming in . Not","one who 'll have to cover for you . "" Bree shooed her off . "" No one else is coming in . Not"
mgc0019,mg0219,boo,booed,31,354209,1995,1990,MAG,Time,#and feathered by the studio audience instead of being merely,booed,and shamed ?,#and feathered by the studio audience instead of being merely booed and shamed ?
mgc0020,mg0812,ooh,oohing,7,5223021,2010,2010,TV/MOV,Undercovers,pack it . Okay then . When you two have finished,oohing,"and aahing over the toy , me and Mrs . Yorn need","pack it . Okay then . When you two have finished oohing and aahing over the toy , me and Mrs . Yorn need"
mgc0021,mg0164,boo,booed,26,284665,1977,1970,MAG,Time,"#City , Mo. , attracted 300 supporters , who continually",booed,and jeered the drug 's critics . # These legal and legislative,"#City , Mo. , attracted 300 supporters , who continually booed and jeered the drug 's critics . # These legal and legislative"
mgc0022,mg1216,shoo,shooing,157,5229035,2009,2000,TV/MOV,Psych,And we 're shooing . We 're shooing . We 're,shooing,. Auf wiedersehen . Sweet . You heard Lassiter . We need,And we 're shooing . We 're shooing . We 're shooing . Auf wiedersehen . Sweet . You heard Lassiter . We need
mgc0023,mg0332,boo,booing,166,141239,1936,1930,MAG,Time,knuckled down on the discharge of union leaders . Braving a,booing,", Mayor Marvin put Mr. Rand 's terms before the workers .","knuckled down on the discharge of union leaders . Braving a booing , Mayor Marvin put Mr. Rand 's terms before the workers ."
mgc0024,mg0182,boo,booed,61,296040,1983,1980,MAG,Time,"#, the octogenarian hero of the elderly , also was",booed,"by a white audience last week . Douglas Fraser , the president","#, the octogenarian hero of the elderly , also was booed by a white audience last week . Douglas Fraser , the president"
mgc0025,mg1347,wow,wowed,85,402888,2000,2000,MAG,TechReview,"#and the mathematician touting the technology , together they",wowed,venture capitalists on both coasts . Backed by $12.5 million,"#and the mathematician touting the technology , together they wowed venture capitalists on both coasts . Backed by $12.5 million"
mgc0026,mg1198,shoo,shooing,100,377297,2005,2000,MAG,Time,"essentially a professional crisis manager , defusing fights ,",shooing,off troublemakers and healing broken souls with sugar and steel,"essentially a professional crisis manager , defusing fights , shooing off troublemakers and healing broken souls with sugar and steel"
mgc0027,mg1341,wow,wowed,74,639422,1999,1990,NEWS,Denver,"#bleachers and capacity crowds , where the McCaffrey siblings",wowed,them on the basketball floor . # First came Eddie . Already,"#bleachers and capacity crowds , where the McCaffrey siblings wowed them on the basketball floor . # First came Eddie . Already"
mgc0028,mg1114,shoo,shooing,42,780149,1944,1940,FIC,DarkPage,"the rner , the puffing Amos behind him . A cop",shooing,"Curious kids away greeted him . "" What are you doing here","the rner , the puffing Amos behind him . A cop shooing Curious kids away greeted him . "" What are you doing here"
mgc0029,mg0688,boo,boos,227,432399,1988,1980,MAG,Newsweek,traditional talking tuxedo in midring brought forth a chorus of,boos,. Boxing has come a long way from the days when men,traditional talking tuxedo in midring brought forth a chorus of boos . Boxing has come a long way from the days when men
mgc0030,mg1085,shoo,shooed,76,5003303,2019,2010,FIC,Boulevard,"sun . Janie physically shooed Rothberg away from the computer ,",shooed,him from the apartment dining room entirely . She printed the,"sun . Janie physically shooed Rothberg away from the computer , shooed him from the apartment dining room entirely . She printed the"
mgc0031,mg1157,shoo,shooing,71,10690,1982,1980,FIC,TrueLove,", nigger ! "" The man tries to edge away ,",shooing,his kids ahead of him . It 's not necessarily that he,", nigger ! "" The man tries to edge away , shooing his kids ahead of him . It 's not necessarily that he"
mgc0032,mg1344,wow,wowed,50,368207,2000,2000,MAG,Time,"#gold medals at the 1996 Atlanta Olympics , she has",wowed,"sports fans with graceful and tenacious swordswomanship ,","#gold medals at the 1996 Atlanta Olympics , she has wowed sports fans with graceful and tenacious swordswomanship ,"
mgc0033,mg0821,ooh,oohs,5,16316,1968,1960,FIC,Mov:Skidoo,"floating down through the air and just then his colorful parachute opens to the """,oohs,"and ahhs "" of the crowd. This is the scene in New York,","floating down through the air and just then his colorful parachute opens to the "" oohs and ahhs "" of the crowd. This is the scene in New York,"
mgc0034,mg0091,boo,booed,203,10299,1953,1950,FIC,ReturnLannyBudd,"#unacknowledged legislators of mankind . "" The Reds hissed and",booed,"this speech , but the Germans gave the speaker an ovation .","#unacknowledged legislators of mankind . "" The Reds hissed and booed this speech , but the Germans gave the speaker an ovation ."
mgc0035,mg0021,boo,booed,38,10027,1932,1930,FIC,MagnoliaStreet,#that John Cooper was now away at sea . They,booed,as if Benny Edelman had not saved little Tommie Wright from,#that John Cooper was now away at sea . They booed as if Benny Edelman had not saved little Tommie Wright from
mgc0036,mg0360,boo,booing,112,1045187,1952,1950,TV/MOV,Stars and Stripes Fo...,"? Shall fade ? ? Be scattered ? ? [Crowd_Shouting] ,",Booing,The scoundrel . Nincompoop . Let 's get out of here before,"? Shall fade ? ? Be scattered ? ? [Crowd_Shouting] , Booing The scoundrel . Nincompoop . Let 's get out of here before"
mgc0037,mg0409,boo,booing,38,10580,1974,1970,FIC,LoveFeast,concoction passed around . Dean Borden booed when he refuses .,Booing,billows as proctors follow Dean 's lead . Turtlenecked chaplain,concoction passed around . Dean Borden booed when he refuses . Booing billows as proctors follow Dean 's lead . Turtlenecked chaplain
mgc0038,mg0155,boo,booed,110,731529,1974,1970,NEWS,Chicago,"#was leaving the hotel after the speech , the protesters",booed,"him loudly , the first evidence of hostility that Ford has","#was leaving the hotel after the speech , the protesters booed him loudly , the first evidence of hostility that Ford has"
mgc0039,mg1095,shoo,shooing,126,3457,1914,1910,FIC,AdesFables,"brave Woman who was back there in the lonesome Shack ,",shooing,"the Prairie Wolves away from the Cradle , and he resolved to","brave Woman who was back there in the lonesome Shack , shooing the Prairie Wolves away from the Cradle , and he resolved to"
mgc0040,mg0136,boo,booed,233,494588,1969,1960,MAG,NewRepublic,#guarantee to the Secret Service that he would not be,booed,", cursed and generally maligned by some of his hearers .","#guarantee to the Secret Service that he would not be booed , cursed and generally maligned by some of his hearers ."
