recode_id,coding_id,genre,source,context,recode_syn,recode_sem,recode_int,recode_notes
R001,F561,FIC,WidowsMarriage,"Of where the French go. If the French go -- Lady G. Lady Goldstraw Fie! Your tongue is idler than your hands. Go, go; Get to",1,1,1,
R002,F452,FIC,AirsPalestineOther,"in error far, If I've not seen thee lighting a cigar; -- Fie! Fie! my friend, eschew the nauseous stuff! I hate thy smoking",1,1,1,
R003,F473,MAG,Harpers,"children can not be happy without a little glory, you should not say, fie! at it so much. Josephine, your heart is excellent, but your",1,0,0,
R004,F515,NEWS,NYT-Reg,"who called on him at the Hotel' Vittoria. "" No one is forcing Fie to sing at - any specified time, and the moment when I shall sing",0,0,0,ocr
R005,F216,FIC,IngleboroughHall,", and then I'd marry the foul fiend if need were. "" "" Fie! fie! Mark! "" answered Hale -- "" don't talk in that",1,1,1,
R006,F378,FIC,TalesChesapeake,"his shodden staff, and ejaculating, "" Foei! weg! fychaam u! Fie! leave off! fie on you! What absurdity is this on the property",1,1,1,
R007,F491,FIC,Richelieu,"to take advantage of her helpless, defenceless, situation -- Oh, fie! fie! -- A ruffian could not have done worse!' T was unworthy of",1,1,1,
R008,F229,FIC,LauncelotGuenevere [1898-1907],"guilty twenty times, He doth as far this Ladinas o'erpeer As mountains anthills. Fie, a worm, a snail! Kaye. Kaye.' T is most",1,1,1,
R009,F265,FIC,Betrothal,wed Marsio. Fil. Filippia The poison in another shape. Cos. Costanza Fie! fie! Are quibbling jests the best advice you give? Fil. Filippia,1,1,1,
R010,F469,FIC,Trumps,"see? and yet you talk of being my only dependence in the world! Fie! fie! Mrs. Delilah Jones. "" It was melancholy merriment. He did",1,1,1,
R011,F012,FIC,DaughtersRevolution,"his oration, "" said the moderator. "" No, no! fie, fie! "" shouted a captain of the Royal Irish Regiment, and the other officers",1,1,1,
R012,F295,FIC,Play:FaithOurFathers,"BYRD You agree, do you not, Colonel Washington? SALLY FAIRFAX Oh, fie! Maria Byrd. We know how he feels. GEORGE MASON A toast!",1,1,1,
R013,F409,FIC,PoemsNathaniel,"come to that -- we're free by habeas corpus. XXXIV. ("" Fie, what a naughty shawl! No expos, I trust, love, eh",1,1,1,
R014,F349,FIC,NabobVolume12,"back is turned we divide the fruit of the crime, laughing like brigands. Fie! Monsieur Passajon. Such performances at your time of life! Oh! Mon",1,1,1,
R015,F114,FIC,Play:Herrick,"Come tell me all. p. 39 HERRICK All what? AUNT TEMPLE Fie, fie, I know it all -- thy secret. HERRICK Thou dost? Bless thee",1,1,1,
R016,F322,NF/ACAD,365ShortcutsHome,"or plaids. It is used for aprons, house dresses, etc. "" Fie upon the lexicographer or whatever they | call a person who writes a dictionary!",0,1,1,
R017,F407,FIC,MerchantVenice,"t is mine, and I will have it: If you deny me, fie upon your law! There is no force in the decrees of Venice: I",0,1,1,
R018,F386,FIC,CharlesSecond,"Mary Copp Drawing back. He does not look so very ferocious, neither. Fie, sir, fie! what, steal the jewels of the crown? Chas",1,1,1,
R019,F408,FIC,NabobVolume12,"wager Bois-l'Hery got' em for six thousand. "" "" Oh! fie, fie -- a gentleman! "" said Jenkins, with the indignation of a noble soul",1,1,1,
R020,F503,MAG,Harpers,of you more force of character. They tell me that you weep continually. Fie! How unbecoming that is. Your letter of the 7th of January gave me,1,1,1,
R021,F003,FIC,FairGodTheLast,", or to the fountain yet faintly illuminated. But he was firm. "" Fie, fie! "" he said. "" You should laugh, not cry.",1,1,1,
R022,F615,FIC,Inconstant,"R. DUGARD runs to MIRABEL, the rest to OLD MIRABEL. Dug. Dugard Fie, fie, Mirabel, murder your father! Mir. Young Mirabel My father",1,1,1,
R023,F600,FIC,DukesPrizeStory,""" What would you? "" "" To speak to the duke. "" "" Fie, man, don't you see he's busy now? "" "" Give",1,1,1,
R024,F145,FIC,CavaliersVirginia,"if you had not announced your nomination for a secondary office. "" "" O fie, fie, Virginia, I did not think you could play the hypocrite so",1,1,1,
R025,F461,NF/ACAD,OrdinanceWorld,"firing above noted: "" In their present con (lition these buns can not fie depended ilpon to fire, a sir) le magazine without malfunctions. W ctiter",0,0,0,ocr
R026,F106,FIC,VariousWritings,"might have been as easily done as kissing a wench. BRISK. Fie, fie, Crowder! -- we must move gently; anything but a misdemeanor or open",1,1,1,
R027,F328,FIC,LadyPirate,"her good-looking, but I am sure I don't know why. "" "" Fie upon you! She is superb. In short, Helena, I am not",0,1,1,
R028,F122,FIC,LovesSacrifice,"-- there is not one for half-a-dozen of us! Mar. Margaret Fie, fie, girl! To your task. I shall be late. You know,",1,1,1,
R029,F590,FIC,LauncelotGuenevere,of men? Helen. Helen. And thou wouldst that I love thee? Fie! this is a low thought thou pluckest from its sheath. Chorus. Chorus,1,1,1,
R030,F357,TV/MOV,Hamlet,"my heart with words and fall a-cursing like a very drab, a scullion. Fie upon't, foh! About, my brain. I have heard that guilty",0,1,1,
R031,F230,NEWS,NYT-Reg,"'s feet. Parliamentary experts said Mr. Wilson had the edge in the exchange, fie had succeeded in making a major issue of a point that was extraneous to the",0,0,0,ocr
R032,F601,FIC,CountJulianThe,"woman, Toro! "" she exclaimed. "" They have raised her up -- fie -- fie -- her neck is bare, and yet she does not heed it",1,1,1,
R033,F436,FIC,Harpers,"just built up to that. All the way up to that. "" T FIE reporter nodded. He had the curious feeling he was listening to a story he",0,0,0,
R034,F592,NF/ACAD,KoranAl-Quran,"God, that which doth not profit you at all, nor injure you? Fie on you and on that ye worship instead of God! What! do ye",0,1,1,
R035,F538,NEWS,Chicago,"make two or three buys. "" aarrr orisesifil? Tr nt. P nlns fie V I l.1, ppmtt? Two suburban police officers (left, back to",0,0,0,ocr
R036,F092,FIC,LeonorDeGuzman,"see him not. Laughing. Alb. Don Juan Alonso de Alburquerqu O, fie! my lady, Is childish trifling the best wit you bring, To meet",1,1,1,
R037,F531,FIC,SpanishHusband,"? Ben. Benedetto What! Take me for a story teller? Oh, fie! Hear me out: a boat brings my master ashore. He stares like",1,1,1,
R038,F101,FIC,DaughtersRevolution,"Warren for his oration, "" said the moderator. "" No, no! fie, fie! "" shouted a captain of the Royal Irish Regiment, and the",1,1,1,
R039,F258,FIC,Novels,""" "" In the same house? And -- perhaps -- married? "" "" Fie upon you, Mary. Is this the courage you have just avowed, to",0,1,1,
R040,F300,FIC,IngleboroughHall,"grace of Lauderdale, they say, is looking after. "" "" Fie! fie! Sir Henry -- fie! Do you suppose that a thought of that kind",1,1,1,
R041,F083,FIC,NewGentleShepherd,"And set his nose a bleeding. Mause. Mause Let go your gripes; Fie, Madge! shame, Bauldy, shame! I would not wish this combat",1,1,1,
R042,F551,TV/MOV,Crazy Ex-Girlfriend,"lot in common. And I'm not just talking about the pizza and the fie. Mm-hmm. Oh, you know what? Until my business cards come in",0,0,0,ocr
R043,F568,FIC,VelvetDoublet,"his stern and a blast and shouted that we were Andalusians from Palos and a fie for a Portuguese parvenu with four bombards. The patrol did not hear him,",0,1,0,
