coding_id,genre,source,context,interjection_syn,interjection_sem,interjection_int,notes
F001,FIC,Zamba,"couch, where arms maternal Gives to the shivering form its warmest shelter. Now fie upon such manhood! these are brutes Compared with him that serves him of the",1,1,1,Reproach: 'Fie on/upon X'
F002,FIC,WestPoint,"Mrs. Arnold. Mrs. Arnold Oh! I understand. Major Talmadge? Fie, fie, I can't, upon my life, see why you should forego all",1,1,1,"Reduplicated: 'Fie, fie'"
F003,FIC,FairGodTheLast,", or to the fountain yet faintly illuminated. But he was firm. "" Fie, fie! "" he said. "" You should laugh, not cry.",1,1,1,Exclamatory: 'Fie!'
F004,FIC,Elopement,"a flame that will require something more than water to extinguish. Marie. Marie Fie, Annette! Madelaine is betrothed to Mons. Lefvre, and you, who are",1,1,1,"Clause-peripheral: 'Fie, ...'"
F005,FIC,HeartsSecretOr,"able to go to-morrow -- at least I fear I shall not. "" "" Fie, fie, my daughter; thou, the prettiest bird in all the island",1,1,1,"Reduplicated: 'Fie, fie'"
F006,FIC,LadyPirate,"first chapter of Genesis, Jimmy. "" "" What's that? "" "" Fie! Fie! Jimmy, haven't you read that? "" He shook his",1,1,1,Exclamatory: 'Fie!'
F007,FIC,IngleboroughHall,"a thought of that kind ever occurred to me? Oh no -- fie! fie! but, on my word, I believe I can do it. """,1,1,1,Exclamatory: 'Fie!'
F008,FIC,ErnestMaltravers188-?,"by all accounts, half a dozen didn't serve him. Aloud Oh, fie! my dear sir, for shame! I didn't insinuate such a thing",1,1,1,Exclamatory: 'Fie!'
F009,MAG,Harpers,", were not in the room with our young people, going to cry out fie and for shame? Then tie and for shame upon you, Mrs. Grundy!",1,1,1,Default: assumed interjection
F010,NEWS,NYT-Reg,"Cripple Creek. Orchard made a similar denial, as, - in fact, fie did to all of the.. questions: - The third question was of",1,1,1,Default: assumed interjection
F011,FIC,WidowsMarriage,"the church-door! -- Mercy! Madge, Don't stare so at them. Fie! you naughty child, I'm blushing for you. Marry! when you",1,1,1,Exclamatory: 'Fie!'
F012,FIC,DaughtersRevolution,"his oration, "" said the moderator. "" No, no! fie, fie! "" shouted a captain of the Royal Irish Regiment, and the other officers",1,1,1,Exclamatory: 'Fie!'
F013,FIC,DreamLife A,"if it won't be true some day or other. - - - - Fie, Clarence, where is your split sixpence, and your blue ribbon! Jenny",1,1,1,"Clause-peripheral: 'Fie, ...'"
F014,FIC,MovingTarget,"over his records. "" Graves let me pull him back into his seat. FIe stroked his closed eyelids with his fingertips. "" This case is. the wildest",0,0,0,OCR: 'he' misread as 'fie' (pronoun+transitive verb)
F015,FIC,Liz,", very silly; the Scilly Isles. An. Anice Barholm (laughs) Fie! A clergyman and making puns. Lons. Rev. Arthur Lonsdale I apologise,",1,1,1,Exclamatory: 'Fie!'
F016,MAG,Atlantic,"Washington a mudhole, and left it the city of beauty it is to-day. fie. suffered the fate of all reformers,? he was abused, calumniated,",0,0,0,Metalinguistic mention
F017,FIC,RichardEdneyGovernors,"The wounds of Young America heal quick. A breach in a mill-dam, -- fie! it is no more than a bird-track through our incalculable sky. Then there",1,1,1,Exclamatory: 'Fie!'
F018,FIC,WhenLifeIsYoung,"nor right. "" "" You won't, you naughty boy? Oh, fie! You dare to tell me mind my eye? Come down this instant!",1,1,1,Exclamatory: 'Fie!'
F019,FIC,RomanTraitorVol12,"moved down in company toward the river. CHAPTER VI. THE FALSE LOVE. Fie, fie, upon her; There's a language in her eye, her",1,1,1,"Reduplicated: 'Fie, fie'"
F020,TV/MOV,Hamlet,"heaven. O earth. What else? And shall I couple hell? O fie. Hold, hold, my heart and you, my sinews, grow not",1,1,1,Default: assumed interjection
F021,FIC,Orlando,"on heaven -- And echo to the horizon mock'd me! Sel. Selim Fie, fie, good lady, fie! compose yourself. What use of this",1,1,1,Exclamatory: 'Fie!'
F022,MAG,Atlantic,"too absorbed in remote considerations to throw himself with passion into direct conflict.' fie was the most extraordinary man I ever saw,' says Heintzelman.' I",1,1,1,Default: assumed interjection
F023,FIC,Promise,"The Bible they change whenever they do not understand what they read. //I' fie Gemora ""? he used the traditional synonym for the Talmud, though the",1,1,1,Interjection in dialogue
F024,FIC,LauncelotGuenevere [1898-1907],"nigh -- And this is Cupid's ladder. Lionors. Lionors. Oh, fie! it is a jade's song. Naughty boy, You must be good",0,0,0,Metalinguistic mention
F025,MAG,Nation,"great era in German literature at the end of the eighteenth century, m as fie deplor -- s the fact that "" but few of the ideals that swelled the",1,1,1,Interjection in dialogue
