audit_item_id,check_name,check_definition,failure_class,required_evidence_type,applies_at_gate,checklist_version,notes
la_001,dossier_collection_disjoint,Dossier reservation collection blocks do not intersect target event collection blocks,halt,set_intersection,Gate C,0.2,
la_002,dossier_speaker_disjoint,Dossier reservation speakers do not intersect target event speakers,halt,set_intersection,Gate C,0.2,
la_003,source_packet_stops_at_offset,Every source packet ends at target TCU acoustic offset,halt,packet_boundary_hash,Gate C,0.2,
la_004,cue_packet_stops_at_offset,Every immediate-cue and pre-offset eligibility packet ends at target TCU acoustic offset,halt,packet_boundary_hash,Gate C,0.2,
la_005,declaration_mask_excludes_target,Declaration-specific evidence excludes trajectory and registered close proxies,halt,evidence_mask_audit,Gate C,0.2,
la_006,source_passes_separate,Syn sem and each neighbour use fresh contexts and mutually hidden responses,halt,annotation_route_and_manifest_join,Gate D,0.2,
la_007,lexical_structure_frozen,Aliases retrieval bins sign-types blocks component relations and pathway relations predate target coding,halt,freeze_hash_and_timestamp,Gate C,0.2,
la_008,exclusions_prospective,Every exclusion code and decision rule predates target coding,halt,codebook_and_git_history,Gate C,0.2,
la_009,strict_variants_contained,Every strict variant block is wholly contained in one principal outer block,halt,relational_integrity_check,Gate C,0.2,
la_010,component_exclusions_applied,Every primary fold applies all frozen direct component exclusions,halt,generated_fold_audit,Gate E,0.2,
la_011,pathway_relations_frozen,Every pathway sensitivity relation predates target coding and cites independent diachronic evidence,remediable_before_unblinding,relation_evidence_audit,Gate C,0.2,
la_012,source_free_text_screened,All free text entering source cards passed the frozen target-information screen,halt,text_screen_log,Gate C,0.2,
la_013,immediate_cues_available,Prosody TCU completeness summons continuation timing provenance and other immediate cues are available symmetrically,halt,schema_and_missingness_audit,Gate E,0.2,
la_014,covariates_symmetric,All four structured models receive symmetrically available covariates and calibrated priors,halt,model_matrix_audit,Gate E,0.2,
la_015,model_routes_frozen,Three model families two repeats settings and exact routes predate annotation,halt,model_registry_route_hash,Gate C,0.2,
la_016,expert_adjudication_source_only,Expert source adjudication cannot consult cues outcomes or joined model results,halt,expert_access_log,Gate D,0.2,
la_017,packet_metadata_blinded,Timing filenames clip length transcript truncation and ordering do not reveal masked targets or strata,remediable_before_unblinding,packet_manual_audit,Gate C,0.2,
la_018,packet_boundary_sample,At least ten percent of packets match original transcript and permitted audio boundaries,halt,manual_packet_audit,Gate C,0.2,
la_019,no_outcome_tuning,Pilot trajectories did not tune membership sign-types blocks relations scoring regions or defeat thresholds,halt,freeze_history_audit,Gate E,0.2,
la_020,token_assignment_preoffset,Every token-to-sign-type assignment used only a pre-offset packet and opaque sign-type rules,halt,packet_role_join,Gate D,0.2,
la_021,eligibility_layers_separate,Pre-offset eligibility and mechanical eligibility were joined without target-trajectory input,halt,eligibility_provenance_audit,Gate D,0.2,
la_022,timing_audio_measured,Every primary event uses expert-audited audio-measured timing with declared resolution,halt,timing_provenance_audit,Gate D,0.2,
la_023,outcome_derived,Every trajectory and 1.5 2.0 and 2.5 second summary equals its frozen derivation from boundaries and speaker type,halt,deterministic_recompute,Gate E,0.2,
la_024,dossier_reservations_complete,Every corpus-derived dossier evidence row has a reservation record,halt,foreign_key_audit,Gate C,0.2,
la_025,card_order_recorded,Declaration-specific cards precede full-profile cards and masked-card guesses are logged,remediable_before_unblinding,classification_order_audit,Gate D,0.2,
la_026,symmetric_primary_edges_fixed,Sem and syn total-value contrasts remain co-primary and neither can rescue the other,halt,analysis_manifest_audit,Gate E,0.2,
la_027,checklist_complete,Every checklist item applicable to the gate has exactly one audit result,halt,relational_integrity_check,Gate E,0.2,
la_028,fixed_evaluation_point,No interim feasibility decision was made before all frozen packets reached their declared stages,halt,coding_progress_log,Gate E,0.2,
la_029,model_agreement_labeled,Within-family and cross-family statistics are never labelled human intercoder reliability,halt,reporting_string_audit,Gate E,0.2,
la_030,differential_attrition_checked,Uncodable technical and speaker-ambiguity rates are reported by source cell,halt,missingness_and_attrition_audit,Gate E,0.2,
